阿	〔阝可・tzk〕
啊	〔口阝可・dtzk〕
吖	〔口丷丨・dhgs〕
嗄	〔口一自夊・dfoh〕
呵	〔口可・dzk〕
锕	〔钅阝可・ztzk〕
腌	〔月大日乚・vmoa〕
錒	〔金阝可・ztzk〕
爱	〔爫冖𠂇又・ywnr〕
哎	〔口艹乂・dlbi〕
唉	〔口厶矢・dkos〕
矮	〔矢禾女・oxbn〕
挨	〔扌厶矢・ukos〕
埃	〔土厶矢・gkos〕
艾	〔艹乂・lbi〕
癌	〔疒口口口山・addv〕
哀	〔衣口・tdk〕
碍	〔石日一寸・mofk〕
隘	〔阝皿・tkam〕
嗳	〔口爫冖𠂇又・dywr〕
捱	〔扌厂土土・uxgg〕
霭	〔⻗讠曰勹亾・tsof〕
蔼	〔艹讠曰勹亾・lsof〕
暧	〔日爫冖𠂇又・oywr〕
瑷	〔王爫冖𠂇又・nywr〕
皑	〔白山己・uvvj〕
嫒	〔女爫冖𠂇又・bywr〕
嗌	〔口皿・dkam〕
砹	〔石艹乂・mlbi〕
锿	〔钅衣口・ztdk〕
乂	〔乂・bi〕
欸	〔厶矢欠・koeq〕
毐	〔士毋・gku〕
薆	〔艹爫冖心夂・lywh〕
藹	〔艹言曰勹亾・lsof〕
絠	〔糹𠂇⺝・invy〕
礙	〔石匕矢龴疋・mvot〕
磑	〔石山豆・mvzd〕
硙	〔石山己・mvvj〕
硋	〔石亥・mkh〕
譪	〔言艹曰勹亾・slof〕
譺	〔言匕矢龴疋・svot〕
瞹	〔目爫冖心夂・qywh〕
皧	〔白爫冖心夂・uywh〕
皚	〔白山豆・uvzd〕
賹	〔貝皿・okam〕
璦	〔王爫冖心夂・nywh〕
焥	〔火宀夕⺋・cwlz〕
躷	〔身禾女・zxbn〕
濭	〔氵艹土厶皿・klga〕
溾	〔氵鬼・kag〕
溰	〔氵山豆・kvzd〕
醷	〔酉音心・yxhx〕
曖	〔日爫冖心夂・oywh〕
昹	〔日丶・oiks〕
敳	〔山豆攵・vzhp〕
敱	〔山豆攴・vzhp〕
鎄	〔金衣口・ztdk〕
鑀	〔金爫冖心夂・zywh〕
閡	〔門亥・akh〕
懝	〔忄匕矢龴疋・hvot〕
懓	〔忄爫冖心夂・hywh〕
愛	〔爫冖心夂・ywhh〕
阨	〔阝厂⺋・txzj〕
阸	〔阝户乙・tmai〕
隑	〔阝山豆・tvzd〕
靄	〔⻗言曰勹亾・tsof〕
