的	〔白勹丶󰁶・rqyy〕
一	〔一一囗囗・ggll〕
是	〔日一󰁾󰁧・jghu〕
在	〔丨土󰀌・dhfd〕
不	〔丆卜󰀦・dhi〕
了	〔了乛亅・bnh〕
有	〔月󰀘・def〕
和	〔禾口󰀝・tkg〕
人	〔人人人人・wwww〕
这	〔文辶󰀦・ypi〕
中	〔口丨󰀵・khk〕
大	〔大大大大・dddd〕
上	〔󰀥一󰀌・hgd〕
为	〔丶丿𠃌丶・ytny〕
个	〔人丨󰀬・whj〕
过	〔寸辶󰀦・fpi〕
国	〔囗王丶󰀦・lgyi〕
我	〔丿扌󰅅丶・trxy〕
以	〔󰁐丶人󰁶・nywy〕
地	〔土也󰁀・fbn〕
他	〔亻也󰁀・wbn〕
要	〔覀女󰀘・svf〕
来	〔一米󰀦・goi〕
们	〔亻门󰁀・wun〕
时	〔日寸󰁶・jfy〕
到	〔一厶土刂・gcfj〕
生	〔丿主󰀌・tgd〕
用	〔月丨󰀵・ehk〕
作	〔亻𠂉丨二・wthf〕
就	〔亠口小丶・ykiy〕
出	〔凵山󰀵・bmk〕
于	〔一󰀛󰀵・gfk〕
会	〔人二厶󰁧・wfcu〕
对	〔又寸󰁶・cfy〕
分	〔八刀󰁣・wvr〕
成	〔厂𠃌󰅅丶・dnxy〕
年	〔󰅎丨十󰀵・rhfk〕
可	〔丁口󰀌・skd〕
同	〔冂一口󰀌・mgkd〕
主	〔丶王󰀌・ygd〕
也	〔也𠃌丨乚・bnhn〕
发	〔ㄥ丿又丶・ntcy〕
工	〔工工工工・aaaa〕
说	〔讠丷口儿・yukq〕
子	〔子子子子・bbbb〕
下	〔一卜󰀦・ghi〕
能	〔厶月匕匕・cexx〕
动	〔二厶力ノ・fcet〕
行	〔彳一丁󰀢・tgsh〕
产	〔立丿󰀏・ute〕
而	〔丆冂〢󰀬・dmjj〕
多	〔夕夕󰁧・qqu〕
后	〔⺁一口󰀌・rgkd〕
方	〔方丶一丿・yygt〕
面	〔丆冂〢三・dmjd〕
种	〔禾口丨󰀢・tkhh〕
学	〔󰀧冖子󰀘・ipbf〕
著	〔艹土丿日・aftj〕
着	〔䒑󰀠目󰀘・ughf〕
得	〔彳日一寸・tjgf〕
定	〔宀一󰁾󰁧・pghu〕
法	〔氵土厶󰁶・ifcy〕
民	〔󰁃󰁐弋󰁫・nav〕
所	〔⺁󰁃斤󰀢・rnrh〕
经	〔纟ス工󰀝・xcag〕
十	〔十一丨・fgh〕
三	〔三一一一・dggg〕
之	〔之之之之・pppp〕
