⺀	uyy
⺁	rtt
⺂	nnll
⺃	nnll
⺄	nnll
⺅	wth
⺆	mtn
⺇	wtn
⺈	qtn
⺉	jhh
⺊	hhg
⺋	bnn
⺌	ihyt
⺍	iyyt
⺎	gqv
⺏	wqb
⺐	dnv
⺑	wwb
⺒	nngn
⺓	xxxx
⺔	xgd
⺕	vngg
⺖	nyyh
⺗	nhty
⺘	rghg
⺙	ttgy
⺛	aqv
⺜	jhng
⺝	eeee
⺞	hqu
⺟	xnny
⺠	nav
⺡	iyyg
⺢	ihyy
⺣	oyyy
⺤	etyt
⺥	rhyi
⺦	uygh
⺧	tfd
⺨	qttt
⺩	gggg
⺪	nhd
⺫	lhng
⺬	fiu
⺭	pyyy
⺮	ttgy
⺯	xnny
⺰	xnng
⺱	mri
⺲	lhng
⺳	pqb
⺴	pqb
⺵	mjk
⺶	ugr
⺷	ugf
⺸	hghf
⺹	fte
⺺	vhk
⺻	vhgd
⺼	eeee
⺽	ethg
⺾	aghh
⺿	ahgh
⻀	hghg
⻁	hawv
⻂	puyy
⻃	sghg
⻄	sghg
⻅	mqb
⻆	qehj
⻇	qmww
⻈	yyn
⻉	mhny
⻊	khf
⻋	lgnh
⻌	pyny
⻍	pyyy
⻎	pyny
⻏	bnh
⻐	qtgn
⻑	deu
⻒	dcu
⻓	tayi
⻔	uyhn
⻕	wnnn
⻖	bnh
⻗	fghy
⻘	gef
⻙	fnhk
⻚	dmu
⻛	wri
⻜	nui
⻝	wyve
⻞	wytg
⻟	wyty
⻠	qnb
⻡	vdhf
⻢	cgd
⻣	mef
⻤	rqci
⻥	qgf
⻦	qyng
⻧	hlru
⻨	gtu
⻩	amwu
⻪	kjnb
⻫	yjf
⻬	yjj
⻭	hobj
⻮	hwbj
⻯	ujnb
⻰	dxyi
⻱	txd
⻲	qjjn
⻳	qjnb
⼀	ggll
⼁	hhll
⼂	yyll
⼃	ttll
⼄	nnll
⼅	hhll
⼆	fgg
⼇	yyg
⼈	wwww
⼉	qtn
⼊	tyi
⼋	wty
⼌	mhn
⼍	pyn
⼎	uyg
⼏	wtn
⼐	bnh
⼑	vnt
⼒	ent
⼓	qtn
⼔	xtn
⼕	agn
⼖	agn
⼗	fgh
⼘	hhy
⼙	bnh
⼚	dgt
⼛	cny
⼜	cccc
⼝	kkkk
⼞	lhng
⼟	ffff
⼠	fghg
⼡	ttny
⼢	ttny
⼣	qtny
⼤	dddd
⼥	vvvv
⼦	bbbb
⼧	pyyn
⼨	fghy
⼩	ihty
⼪	dnv
⼫	nngt
⼬	bhk
⼭	mmmm
⼮	vnnn
⼯	aaaa
⼰	nngn
⼱	mhk
⼲	fggh
⼳	xxxx
⼴	oygt
⼵	pny
⼶	agth
⼷	ayi
⼸	xngn
⼹	vngg
⼺	ettt
⼻	ttth
⼼	nyny
⼽	agny
⼾	tne
⼿	rtgh
⽀	fcu
⽁	hcu
⽂	yygy
⽃	ufk
⽄	rtth
⽅	yygt
⽆	fqv
⽇	jjjj
⽈	jhng
⽉	eeee
⽊	ssss
⽋	qwu
⽌	hhgg
⽍	gqi
⽎	wcu
⽏	xdd
⽐	xxn
⽑	tfnv
⽒	qav
⽓	rnb
⽔	iiii
⽕	oooo
⽖	rhyi
⽗	wru
⽘	rru
⽙	nhdr
⽚	thgn
⽛	ahte
⽜	tgk
⽝	dyi
⽞	yxu
⽟	gyi
⽠	rcyi
⽡	gnny
⽢	afd
⽣	tgd
⽤	ehk
⽥	llll
⽦	nhi
⽧	uygg
⽨	wnyy
⽩	rrrr
⽪	hci
⽫	lhng
⽬	hhhh
⽭	cnht
⽮	tdu
⽯	dgtg
⽰	fiu
⽱	mci
⽲	tttt
⽳	pwu
⽴	uuuu
⽵	thth
⽶	oyty
⽷	xiu
⽸	rmk
⽹	mrri
⽺	ugj
⽻	nnyg
⽼	ftxb
⽽	dmjj
⽾	dii
⽿	bghg
⾀	vgk
⾁	mwwi
⾂	ahnh
⾃	thd
⾄	gcff
⾅	ethg
⾆	tdd
⾇	qahh
⾈	tei
⾉	vei
⾊	qcb
⾋	btbh
⾌	hav
⾍	jhny
⾎	tld
⾏	tgsh
⾐	yeu
⾑	gmjg
⾒	hqb
⾓	qehj
⾔	yyyy
⾕	wwkf
⾖	gkuf
⾗	gei
⾘	etyt
⾙	mhny
⾚	fou
⾛	fhu
⾜	khu
⾝	tmdt
⾞	lghh
⾟	ufj
⾠	dfei
⾡	ehu
⾢	kcb
⾣	sgd
⾤	toi
⾥	jfd
⾦	qqqq
⾧	deu
⾨	uhng
⾩	wnnf
⾪	vii
⾫	wyg
⾬	fghy
⾭	geg
⾮	hdhd
⾯	dmjd
⾰	akfj
⾱	nkah
⾲	hdhg
⾳	ujf
⾴	dmu
⾵	wtji
⾶	nuth
⾷	wyve
⾸	uthf
⾹	tjf
⾺	coi
⾻	mef
⾼	ykmk
⾽	dcet
⾾	hggh
⾿	obxb
⿀	gkmh
⿁	rqci
⿂	qou
⿃	wvgo
⿄	hlou
⿅	onjx
⿆	swwt
⿇	ossi
⿈	agmu
⿉	twiu
⿊	lfou
⿋	ogui
⿌	xnng
⿍	hndn
⿎	fkuc
⿏	enun
⿐	thlj
