什么	eo
·	vd
——	vp
‘	zb
’	vb
“	zn
”	vn
……	vl
、	va
《	zo
》	vo
「	zy
」	vy
『	zu
』	vu
！	zt
，	zd
。	zj
？	zw
；	zf
：	zm
（	zk
）	vk
～	ve
【	zr
】	vr
0	zno
1	zny
2	zne
3	zns
4	zni
5	znw
6	znl
7	znq
8	znb
9	znj
A	zva
B	zvb
C	zvc
D	zvd
E	zve
F	zvf
G	zvg
H	zvh
I	zvi
J	zvj
K	zvk
L	zvl
M	zvm
N	zvn
O	zvo
P	zvp
Q	zvq
R	zvr
S	zvs
T	zvt
U	zvu
V	zvv
W	zvw
X	zvx
Y	zvy
Z	zvz
a	zma
b	zmb
c	zmc
d	zmd
e	zme
f	zmf
g	zmg
h	zmh
i	zmi
j	zmj
k	zmk
l	zml
m	zmm
n	zmn
o	zmo
p	zmp
q	zmq
r	zmr
s	zms
t	zmt
u	zmu
v	zmv
w	zmw
x	zmx
y	zmy
z	zmz
