一	〔一・Fi・yī|yí|yì〕
丁	〔丁・Cd・dīng|zhēng〕
丂	〔丂・Sk・kǎo|qiǎo|yú〕
七	〔七・Gq・qī|qí〕
丄	〔丄・Os・shàng〕
丅	〔丅・Cx・xià〕
丆	〔丆・Vh・hǎn〕
万	〔一勹・FIb・wàn|mò〕
丈	〔ナ乀・XId・zhàng〕
三	〔三・Ys・sān〕
上	〔上・Os・shàng|shǎng〕
下	〔下・Cx・xià〕
丌	〔丌・Oj・jī|qí〕
不	〔不・Nb・bù|fǒu|fōu|fū|bú〕
与	〔丂一・SFi・yǔ|yù|yú〕
丏	〔丅乚乛・CTOi・miǎn〕
丐	〔丅一㇉・CFTi・gài〕
丑	〔丑・Ec・chǒu〕
丒	〔刀丶一・JIFi・chǒu〕
专	〔二㇉丶・ATId・zhuān〕
且	〔且・Eq・qiě|jū|cú〕
丕	〔不一・NFi・pī〕
世	〔世・Ls・shì〕
丗	〔卅一・DFi・shì〕
丘	〔斤一・LFi・qiū〕
丙	〔一冂人・FQUr・bǐng|bìng〕
业	〔业・Vi・yè〕
丛	〔人人一・UUFi・cóng〕
东	〔七小・GIx・dōng〕
丝	〔{纟上}{纟上}一・OOFi・sī〕
丞	〔乛水一・ONFi・chéng|shèng|zhēng|zhěng〕
丟	〔王厶・YDm・diū〕
丠	〔丬匕一・OBFi・qiū〕
両	〔一冂山・FQJs・liǎng〕
丢	〔壬厶・NDm・diū〕
丣	〔丌匚コ・OTEk・yǒu〕
两	〔一冂人人・FQUU・liǎng〕
严	〔一业丿・FVWp・yán〕
並	〔䒑业・LVi・bìng|bàn|bàng〕
丧	〔十丷{畏下}・RLLv・sàng|sāng〕
丨	〔丨・Ls・gǔn〕
丩	〔丩・Jj・jiū〕
个	〔人丨・ULs・gè|gě|gàn〕
丫	〔丷丨・LLs・yā〕
丬	〔丬・Oq・pán|qiáng〕
中	〔口丨・KLs・zhōng|zhòng〕
丮	〔⺄{奉下}・OAk・jǐ〕
丯	〔彡丨・WLs・jiè〕
丰	〔丰・Qf・fēng〕
丱	〔丱・Jg・guàn|kuàng〕
串	〔口口丨・KKLs・chuàn|guàn|quàn〕
丳	〔口口{介下}・KKRj・chǎn|chuàn〕
临	〔〢{⺮右}{横日}・LGJr・lín〕
丵	〔业{南心}・VMr・zhuó〕
丶	〔丶・Id・zhǔ〕
丷	〔丷・Lb・bā〕
丸	〔九丶・FId・wán〕
丹	〔⺆亠・IRt・dān〕
为	〔丶力丶・ISId・wèi|wéi〕
主	〔丶王・IYw・zhǔ|zhù〕
丼	〔卄亠・DRt・jǐng|dǎn〕
丽	〔一{冂丶}{冂丶}・FQQj・lì|lí〕
举	〔{兴上}八{奉下}・IMAk・jǔ〕
丿	〔丿・Wp・piě|yì〕
乀	〔乀・Id・fú〕
乁	〔乁・Oi・yí|jí〕
乂	〔乂・Ci・yì|ài〕
乃	〔乃・Rn・nǎi|ǎi〕
乄	〔亅丶・OId・wǔ〕
久	〔⺈丶・OId・jiǔ〕
乆	〔乚人・TUr・jiǔ〕
