一	〔一・Fi・yī|yí|yì〕
丁	〔丁・An・dīng|zhēng〕
丂	〔丂・Sk・kǎo|qiǎo|yú〕
七	〔七・Ai・qī|qí〕
丄	〔丄・Ks・shàng〕
丅	〔丅・Ak・xià〕
丆	〔丆・Dh・hǎn〕
万	〔一勹・FWyⓘ・wàn|mò〕
丈	〔ナ乀・SOdⓞ・zhàng〕
三	〔三・Fa・sān〕
上	〔上・Ks・shàng|shǎng〕
下	〔下・Ak・xià〕
丌	〔丌・Aj・jī|qí〕
不	〔不・Du・bù|fǒu|fōu|fū|bú〕
与	〔丂一・SFiⓚ・yǔ|yù|yú〕
丏	〔丅乚乛・AXVi・miǎn〕
丐	〔丅一㇉・AFXi・gài〕
丑	〔丑・Bc・chǒu〕
丒	〔刀丶一・BOFi・chǒu〕
专	〔二㇉丶・SXOd・zhuān〕
且	〔且・Mi・qiě|jū|cú〕
丕	〔不一・DFiⓤ・pī〕
世	〔世・Hi・shì〕
丗	〔卅一・SFiⓢ・shì〕
丘	〔斤一・EFiⓙ・qiū〕
丙	〔一冂人・FKTe・bǐng|bìng〕
业	〔业・Kg・yè〕
丛	〔人人一・TTFi・cóng〕
东	〔七小・AMaⓘ・dōng〕
丝	〔{纟上}{纟上}一・VVFi・sī〕
丞	〔乛水一・VKFi・chéng|shèng|zhēng|zhěng〕
丟	〔王厶・GVvⓝ・diū〕
丠	〔丬匕一・URFi・qiū〕
両	〔一冂山・FKJs・liǎng〕
丢	〔壬厶・EVvⓝ・diū〕
丣	〔丌匚コ・AGBu・yǒu〕
两	〔一冂人人・FKTT・liǎng〕
严	〔一业丿・FKQp・yán〕
並	〔䒑业・UKgⓔ・bìng|bàn|bàng〕
丧	〔十丷{畏下}・DUGf・sàng|sāng〕
丨	〔丨・Ns・gǔn〕
丩	〔丩・Xg・jiū〕
个	〔人丨・TNsⓔ・gè|gě|gàn〕
丫	〔丷丨・UNsⓔ・yā〕
丬	〔丬・Ue・pán|qiáng〕
中	〔口丨・LNsⓥ・zhōng|zhòng〕
丮	〔乙キ・VAoⓘ・jǐ〕
丯	〔彡丨・TNsⓞ・jiè〕
丰	〔丰・Dn・fēng〕
丱	〔丱・Xg・guàn|kuàng〕
串	〔口口丨・LLNs・chuàn|guàn|quàn〕
丳	〔口口{介下}・LLTi・chǎn|chuàn〕
临	〔〢{⺮右}{倒日}・NQJr・lín〕
丵	〔业{南下}・KUgⓖ・zhuó〕
丶	〔丶・Od・zhǔ〕
丷	〔丷・Ue・bā〕
丸	〔九丶・YOdⓕ・wán〕
丹	〔⺆亠・WObⓨ・dān〕
为	〔丶力丶・OXOd・wèi|wéi〕
主	〔丶王・OGnⓓ・zhǔ|zhù〕
丼	〔卄亠・SObⓙ・jǐng|dǎn〕
丽	〔一{冂丶}{冂丶}・FKKf・lì|lí〕
举	〔{兴上}八キ・ITAo・jǔ〕
丿	〔丿・Qp・piě|yì〕
乀	〔乀・Od・fú〕
乁	〔乀・Od・yí|jí〕
乂	〔乂・Wl・yì|ài〕
乃	〔乃・Vj・nǎi|ǎi〕
乄	〔亅丶・VOdⓘ・wǔ〕
久	〔冖乀・YOdⓜ・jiǔ〕
乆	〔乚人・XTeⓘ・jiǔ〕
乇	〔丿七・QAiⓟ・tuō|zhé〕
么	〔丿厶・QVvⓟ・me|yāo|mó|ma〕
义	〔丶乂・OWlⓓ・yì〕
乊	〔丿丷・QUeⓟ・yī〕
之	〔之・Pe・zhī|zhū|zhì〕
乌	〔乌・Ew・wū|wù〕
乍	〔𠂉{乍下}・QMoⓚ・zhà|zuò〕
乎	〔丿丷{于下}・QUAu・hū〕
乏	〔丿之・QPeⓟ・fá〕
乐	〔{乐上}小・TMaⓜ・lè|yuè〕
乑	〔亻{两撇}二・ETSi・yín|pān|zhòng〕
乒	〔斤一丿・EFQp・pīng〕
乓	〔斤一丶・EFOd・pāng〕
乔	〔夭{介下}・ETiⓞ・qiáo〕
乕	〔⺁二巾・ESMv・hǔ〕
乖	〔千丬匕・WURi・guāi〕
乗	〔禾龷・RSjⓗ・chéng〕
乘	〔禾丬匕・RURi・chéng|shèng〕
乙	〔乙・Vi・yǐ|yì|jué〕
