一	〔一・Fiⓘ・yī|yí|yì〕
丁	〔丁・Jdⓓ・dīng|zhēng〕
丂	〔丂・Hkⓚ・kǎo|qiǎo|yú〕
七	〔七・Xiⓘ・qī|qí〕
丄	〔丄・Jvⓥ・shàng〕
丅	〔丅・Jxⓧ・xià〕
丆	〔丆・Vhⓗ・hǎn〕
万	〔一勹・FWbⓘ・wàn|mò〕
丈	〔ナ乀・EKdⓩ・zhàng〕
三	〔三・Laⓐ・sān〕
上	〔上・Jvⓥ・shàng|shǎng〕
下	〔下・Jxⓧ・xià〕
丌	〔丌・Ljⓙ・jī|qí〕
不	〔不・Vuⓤ・bù|fǒu|fōu|fū|bú〕
与	〔丂一・HFiⓚ・yǔ|yù|yú〕
丏	〔丅乚乛・JEYi・miǎn〕
丐	〔丅一㇉・JFEi・gài〕
丑	〔丑・Bcⓒ・chǒu〕
丒	〔刀丶一・MKFi・chǒu〕
专	〔二㇉丶・IEKd・zhuān〕
且	〔且・Jqⓠ・qiě|jū|cú〕
丕	〔不一・VFiⓤ・pī〕
世	〔世・Siⓘ・shì〕
丗	〔卅一・SFiⓢ・shì〕
丘	〔斤一・DFiⓙ・qiū〕
丙	〔一冂人・FCRe・bǐng|bìng〕
业	〔业・Ueⓔ・yè〕
丛	〔人人一・RRFi・cóng〕
东	〔七小・XIvⓘ・dōng〕
丝	〔{纟上}{纟上}一・KKFi・sī〕
丞	〔乛水一・YNFi・chéng|shèng|zhēng|zhěng〕
丟	〔王厶・JNaⓦ・diū〕
丠	〔丬匕一・QNFi・qiū〕
両	〔一冂山・FCUs・liǎng〕
丢	〔壬厶・MNaⓡ・diū〕
丣	〔丌匚コ・LHBo・yǒu〕
两	〔一冂人人・FCRR・liǎng〕
严	〔一业丿・FUGp・yán〕
並	〔䒑业・QUeⓚ・bìng|bàn|bàng〕
丧	〔十丷{畏下}・GQMc・sàng|sāng〕
丨	〔丨・Usⓢ・gǔn〕
丩	〔丩・Wjⓙ・jiū〕
个	〔人丨・RUsⓔ・gè|gě|gàn〕
丫	〔丷丨・QUsⓚ・yā〕
丬	〔丬・Qqⓠ・pán|qiáng〕
中	〔口丨・LUsⓥ・zhōng|zhòng〕
丮	〔⺄{奉下}・YAkⓘ・jǐ〕
丯	〔彡丨・CUsⓟ・jiè〕
丰	〔丰・Dfⓕ・fēng〕
丱	〔丱・Wjⓙ・guàn|kuàng〕
串	〔口口丨・LLUs・chuàn|guàn|quàn〕
丳	〔口口{介下}・LLKa・chǎn|chuàn〕
临	〔〢{⺮右}{横日}・UGJr・lín〕
丵	〔业{南心}・UQyⓔ・zhuó〕
丶	〔丶・Kdⓓ・zhǔ〕
丷	〔丷・Qkⓚ・bā〕
丸	〔九丶・RKdⓙ・wán〕
丹	〔⺆亠・WAtⓑ・dān〕
为	〔丶力丶・KSKd・wèi|wéi〕
主	〔丶王・KJwⓓ・zhǔ|zhù〕
丼	〔卄亠・SAtⓞ・jǐng|dǎn〕
丽	〔一{冂丶}{冂丶}・FCCk・lì|lí〕
举	〔{兴上}八{奉下}・NKAk・jǔ〕
丿	〔丿・Gpⓟ・piě|yì〕
乀	〔乀・Kdⓓ・fú〕
乁	〔乁・Yiⓘ・yí|jí〕
乂	〔乂・Siⓘ・yì|ài〕
乃	〔乃・Gnⓝ・nǎi|ǎi〕
乄	〔亅丶・YKdⓘ・wǔ〕
久	〔⺈丶・XKdⓜ・jiǔ〕
乆	〔乚人・EReⓘ・jiǔ〕
乇	〔丿七・GXiⓟ・tuō|zhé〕
么	〔丿厶・GNaⓟ・me|yāo|mó|ma〕
义	〔丶乂・KSiⓓ・yì〕
乊	〔丿丷・GQkⓟ・yī〕
之	〔之・Ozⓩ・zhī|zhū|zhì〕
乌	〔乌・Mwⓦ・wū|wù〕
乍	〔{乞上}{乍下}・GUbⓩ・zhà|zuò〕
乎	〔丿丷{于下}・GQKc・hū〕
乏	〔丿之・GOzⓟ・fá〕
乐	〔{乐上}小・KIvⓜ・lè|yuè〕
乑	〔亻{二撇}{飞右}・ECIr・yín|pān|zhòng〕
乒	〔斤一丿・DFGp・pīng〕
乓	〔斤一丶・DFKd・pāng〕
乔	〔夭{介下}・MKaⓨ・qiáo〕
乕	〔⺁二巾・DIUj・hǔ〕
乖	〔千丬匕・MQNb・guāi〕
乗	〔禾龷・MSoⓗ・chéng〕
乘	〔禾丬匕・MQNb・chéng|shèng〕
乙	〔乙・Yiⓘ・yǐ|yì|jué〕
乚	〔乚・Eiⓘ・yǐn〕
乛	〔乛・Yiⓘ・ya〕
