好	a
地	b
没	c
看	d
要	e
在	f
很	g
了	h
不	i
能	j
的	k
也	l
我	m
是	n
和	o
就	p
一	q
出	r
你	s
个	t
给	u
上	v
着	w
来	x
这	y
成	z
七	uq
万	lw
三	es
下	vx
与	wd
且	tq
世	rd
业	ry
东	ui
严	rm
並	gr
丨	ll
中	vz
丰	el
丶	vv
为	vo
主	vf
丽	qu
丿	mm
久	av
么	mj
义	vr
之	lz
乐	di
乖	lx
九	oj
习	dn
书	ts
乳	eh
事	ks
二	we
于	wl
亏	ql
云	ny
五	tw
井	wi
亞	re
交	yr
亦	ly
产	yc
京	pi
亲	yq
人	sr
亻	sr
仇	so
今	sj
从	ss
仔	sh
他	sl
以	dv
们	sp
件	sw
伐	sz
会	sn
传	su
似	sd
位	sy
住	sv
体	sx
佔	vk
作	st
佳	sb
便	sq
係	ux
保	sk
們	sp
假	si
偷	se
傑	xv
備	fb
傳	su
像	sa
儘	hv
儿	he
元	qh
充	gh
先	wh
光	ih
克	mh
兒	he
兔	wt
入	mv
內	us
全	sf
八	ib
公	ij
六	yl
共	ri
关	ge
兴	ii
其	oq
养	wv
内	us
再	fu
写	uw
军	ug
冥	un
冰	nc
冲	nv
决	ni
冷	ns
准	ne
凡	of
刀	zd
刂	zd
分	iz
切	uz
刊	xz
则	cz
初	yz
删	uu
利	oz
刪	uu
到	qj
制	wu
刺	xu
則	cz
前	gm
力	ol
劝	fo
办	oi
功	do
加	ok
动	no
勒	uo
動	no
勸	fo
包	aj
化	dh
北	xd
区	ir
區	ir
十	ps
千	lq
午	tp
半	id
单	io
南	pu
占	vk
卡	vv
卧	jv
卫	jq
历	ho
厌	hw
厭	hw
去	bj
县	tj
又	fy
双	fs
反	hf
发	uf
变	lf
口	kk
古	mg
另	ko
只	ki
可	gk
史	kr
右	fk
号	kl
司	dq
合	ek
吉	bk
名	mk
后	hq
吐	kb
向	mu
吓	kv
否	ik
吧	kw
听	kx
吹	ka
呀	kj
告	wk
员	kc
咬	ky
品	kp
响	km
哟	ku
員	kc
哪	kz
商	yi
問	pk
