厂	(廠)
卜	(卜|蔔)
儿	(兒)
几	(几|幾)
了	(了|瞭)
乃	[廼迺]
干	(干|乾|幹)[|乹亁|榦]
亏	(虧)
才	(才|纔)
与	(與)
万	(万|萬)
千	(千|韆)
亿	(億)
个	(個)[箇]
么	(麽)
凡	[凢]
广	(廣)
亡	[亾]
门	(門)
丫	[枒椏]
义	(義)
尸	[屍]
卫	(衛)
飞	(飛)
习	(習)
马	(馬)
乡	(鄉)
丰	(丰|豐)
开	(開)
无	(無)
云	(云|雲)
专	(專)[耑]
丐	[匃匄]
扎	[紥紮]
艺	(藝)
厅	(廳)
区	(區)
历	(歷|曆)[歴𠪱|厤]
匹	[疋]
车	(車)
巨	[鉅]
贝	(貝)
冈	(岡)
见	(見)
气	(氣)
升	[昇陞]
夭	[殀]
长	(長)
仆	(仆|僕)
仇	[讐讎]
币	(幣)
仅	(僅)
斤	[觔]
从	(從)
仑	(侖)[崘崙]
凶	[兇]
仓	(倉)
风	(風)
乌	(烏)
凤	(鳳)
为	(爲)
斗	(斗|鬥)[|鬦鬪鬭]
忆	(憶)
计	(計)
订	(訂)
认	(認)
冗	[宂]
讥	(譏)
丑	(丑|醜)
队	(隊)
办	(辦)
以	[㕥㠯]
邓	(鄧)
劝	(勸)
双	(雙)
书	(書)
刊	[栞]
击	(擊)
扑	(撲)
节	(節)
术	(术|術)
厉	(厲)
布	[佈]
龙	(龍)
灭	(滅)
轧	(軋)
东	(東)
占	[佔]
卢	(盧)
业	(業)
旧	(舊)
帅	(帥)
归	(歸)
叶	(叶|葉)
电	(電)
号	(號)
只	(衹|隻)[祇秖|]
叽	(嘰)
叫	[呌]
叩	[敂]
叹	(嘆)[歎]
冉	[冄]
丘	[坵]
仙	[僊]
们	(們)
仪	(儀)
丛	(叢)
尔	(爾)[尒]
乐	(樂)
匆	[怱悤]
册	[冊]
卯	[夘戼]
处	(處)
冬	(冬|鼕)
鸟	(鳥)
务	(務)
饥	(飢|饑)
冯	(馮)
闪	(閃)
兰	(蘭)
汇	(匯|彙)[滙|]
头	(頭)
汉	(漢)
宁	(寧)[寕甯]
它	[牠]
讨	(討)
写	(寫)
让	(讓)
礼	(禮)
训	(訓)
议	(議)
讯	(訊)
记	(記)
出	(出|齣)
辽	(遼)
奶	[妳嬭]
边	(邊)
发	(發|髮)
圣	(聖)
对	(對)
台	(台|臺|颱|檯)
纠	(糾)[糺]
丝	(絲)
动	(動)[働]
扛	[摃]
扣	[釦]
考	[攷]
托	[託]
巩	(鞏)
执	(執)
扩	(擴)
扫	(掃)
场	(場)[塲]
扬	(揚)[敭颺]
亚	(亞)
朴	(朴|樸)
机	(機)
权	(權)
过	(過)
再	[𠕂𠕅]
协	(協)
压	(壓)
厌	(厭)
页	(頁)
夸	(夸|誇)
夺	(奪)
达	(達)
夹	(夾)[袷裌]
轨	(軌)
邪	[衺]
尧	(堯)
划	(划|劃)
迈	(邁)
毕	(畢)
贞	(貞)
师	(師)
尘	(塵)
当	(當|噹)
吁	(吁|籲)
吓	(嚇)
虫	(蟲)
曲	(曲|麯)[|麴]
团	(團|糰)
同	[仝衕]
吊	[弔]
吃	[喫]
因	[囙]
吗	(嗎)
屿	(嶼)
岁	(歲)[嵗]
帆	[㠶颿]
回	(回|迴)[|廻逥]
岂	(豈)
则	(則)
刚	(剛)
网	(網)
年	[秊]
朱	(朱|硃)
迁	(遷)
乔	(喬)
伟	(偉)
传	(傳)
优	(優)
伤	(傷)
价	(價)
伦	(倫)
华	(華)
仿	[倣髣]
伙	(伙|夥)
伪	(僞)
向	(向|嚮)[|曏]
似	[佀]
后	(后|後)
会	(會)
杀	(殺)
合	(合|閤)
众	(衆)[眾]
爷	(爺)
伞	(傘)[𠌂繖]
创	(創)[剏剙]
朵	[朶]
杂	(雜)[襍]
负	(負)
壮	(壯)
冲	(冲|衝)
妆	(妝)[粧]
冰	[氷]
庄	(莊)
庆	(慶)
刘	(劉)
齐	(齊)
产	(産)
决	[決]
闭	(閉)
问	(問)
闯	(闖)
并	[併並竝]
关	(關)
灯	(燈)
污	[汙汚]
汤	(湯)
兴	(興)
讲	(講)
讳	(諱)
军	(軍)
讶	(訝)
许	(許)
讹	(訛)[譌]
论	(論)
讼	(訟)
农	(農)[辳]
讽	(諷)
设	(設)
访	(訪)
诀	(訣)
寻	(尋)[𡬶]
尽	(盡|儘)
导	(導)
异	[異]
孙	(孫)
阵	(陣)
阳	(陽)
阶	(階)[堦]
阴	(陰)[隂]
奸	[姦]
妇	(婦)[媍]
妈	(媽)
戏	(戲)[戯]
观	(觀)
欢	(歡)[懽讙驩]
买	(買)
红	(紅)
驮	(馱)[䭾]
纤	(纖|縴)
驯	(馴)
约	(約)
级	(級)
纪	(紀)
驰	(馳)
纫	(紉)
巡	[廵]
寿	(壽)
弄	[挵衖]
麦	(麥)
玛	(瑪)
进	(進)
远	(遠)
违	(違)
韧	(韌)[靭靱]
运	(運)
抚	(撫)
坛	(壇|罎)[|罈壜]
坏	(壞)
抠	(摳)
扰	(擾)
扼	[搤]
址	[阯]
扯	[撦]
贡	(貢)
坝	(垻|壩)
折	(折|摺)
抡	(掄)
抢	(搶)
坎	[埳]
坟	(墳)
坑	[阬]
护	(護)
壳	(殻)
志	[誌]
块	(塊)
声	(聲)
报	(報)
拟	(擬)[儗]
却	[㕁卻]
劫	[刦刧刼]
芜	(蕪)
苇	(葦)
花	[芲蘤]
苍	(蒼)
严	(嚴)
芦	(蘆)
劳	(勞)
克	(克|剋)[|尅]
苏	(蘇|囌)[甦蘓|]
杆	[桿]
杠	[槓]
村	[邨]
极	(極)
杨	(楊)
豆	[荳]
两	(兩)
丽	(麗)
医	(醫)
励	(勵)
还	(還)
歼	(殲)
来	(來)
连	(連)
轩	(軒)
卤	(鹵|滷)
坚	(堅)
时	(時)[旹]
县	(縣)
里	(里|裏)[|裡]
呆	[獃]
呕	(嘔)
园	(園)
旷	(曠)
围	(圍)
吨	(噸)
邮	(郵)
困	(困|睏)
员	(員)
听	(聽)
吟	[唫]
呛	(嗆)
吻	[脗]
呜	(嗚)
别	(别|彆)
岖	(嶇)
岗	(崗)
帐	(帳)
财	(財)
针	(針)[鍼]
钉	(釘)
乱	(亂)
体	(體)
佣	(傭)
你	[妳]
皂	[皁]
佛	[彿髴]
彻	(徹)
余	(余|餘)
谷	(谷|穀)
邻	(鄰)[隣]
肛	[疘]
肠	(腸)[膓]
龟	(龜)
犹	(猶)
狈	(狽)
删	[刪]
条	(條)
岛	(島)[㠀]
刨	[鉋鑤]
饭	(飯)
饮	(飲)[㱃]
系	(系|係|繫)
冻	(凍)
状	(狀)
亩	(畝)[𤰜畂𤱈畆畮]
况	[況]
床	[牀]
库	(庫)
疗	(療)
吝	[恡]
应	(應)
这	(這)
庐	(廬)
弃	[棄]
闰	(閏)
闲	(閑)[閒]
间	(間)
闷	(悶)
灶	(竈)
灿	(燦)
沥	(瀝)
沦	(淪)
汹	[洶]
泛	[氾汎]
沧	(滄)
沟	(溝)
沪	(滬)
沈	(沈|瀋)
怀	(懷)
忧	(憂)
穷	(窮)
灾	[災烖菑]
证	(證)
启	(啓)[唘啟]
评	(評)
补	(補)
祀	[禩]
识	(識)
诈	(詐)
诉	(訴)[愬]
诊	(診)
词	(詞)[䛐]
译	(譯)
灵	(靈)
层	(層)
迟	(遲)
局	[侷跼]
张	(張)
际	(際)
陆	(陸)
陈	(陳)
附	[坿]
坠	(墜)
妙	[玅]
姊	[姉]
妒	[妬]
劲	(勁)
鸡	(鷄)[雞]
纬	(緯)
驱	(驅)[駈敺]
纯	(純)
纱	(紗)
纲	(綱)
纳	(納)
驳	(駁)[駮]
纵	(縱)
纷	(紛)
纸	(紙)[帋]
纹	(紋)
纺	(紡)
驴	(驢)
纽	(紐)
玩	[翫]
环	(環)
责	(責)
现	(現)
表	(表|錶)
规	(規)[槼]
拓	[搨]
拢	(攏)
拣	(揀)
担	(擔)
坤	[堃]
拐	[柺]
拖	[拕]
顶	(頂)
拥	(擁)
抵	[牴觝]
势	(勢)
拦	(攔)
幸	[倖]
拧	(擰)
拨	(撥)
择	(擇)
拗	[抝]
苹	(蘋)
范	(范|範)
茎	(莖)
杯	[盃桮]
枢	(樞)
柜	(櫃)
板	(板|闆)
松	(松|鬆)
枪	(槍)[鎗]
枫	(楓)
构	(構)[搆]
杰	[傑]
丧	(喪)
画	(畫)
枣	(棗)
卖	(賣)
郁	(郁|鬱)[|欝鬰]
矾	(礬)
矿	(礦)[鑛]
码	(碼)
厕	(厠)[廁]
奔	[奔逩犇]
奋	(奮)
态	(態)
欧	(歐)
殴	(毆)
垄	(壟)
轰	(轟)
顷	(頃)
转	(轉)
斩	(斬)
轮	(輪)
软	(軟)[輭]
肯	[肎]
齿	(齒)
虏	(虜)[虜]
肾	(腎)
贤	(賢)
果	[菓]
昆	[崐崑]
国	(國)
畅	(暢)
咙	(嚨)
咒	[呪]
呼	[虖嘑謼]
鸣	(鳴)
咏	[詠]
岸	[㟁]
岩	[嵒巗巖]
罗	(羅)
帜	(幟)
岭	(嶺)
凯	(凱)
败	(敗)
