㑇	〔㑇・(㑳)〕
㖞	〔㖞・喎〕
㤘	〔㤘・(㥮)〕
㧐	〔㧐・(㩳)〕
㧑	〔㧑・(撝)〕
㧟	〔㧟・(擓)・擓〕
㭎	〔㭎・(棡)〕
䁖	〔䁖・(瞜)〕
䌹	〔䌹・(絅)〕
䏝	〔䏝・(膞)〕
䓖	〔䓖・(藭)・藭〕
䓨	〔䓨・(罃)〕
䜣	〔䜣・(訢)〕
䥺	〔䥺・釾〕
䥽	〔䥽・(鏺)〕
䦃	〔䦃・(鐯)〕
䲢	〔䲢・鰧〕
䴓	〔䴓・(鳾)〕
䴕	〔䴕・(鴷)・鴷〕
䶮	〔䶮・(龑)〕
万	〔万・(万|萬)・萬〕
与	〔与・(與)・與〕
丐	〔丐・[匃匄]〕
丑	〔丑・(丑|醜)・醜〕
专	〔专・(專)[耑]・專〕
丘	〔丘・[坵]〕
业	〔业・(業)・業〕
丛	〔丛・(叢)・叢〕
东	〔东・(東)・東〕
丝	〔丝・(絲)・絲〕
两	〔两・(兩)・兩〕
严	〔严・(嚴)・嚴〕
丧	〔丧・(喪)・喪〕
个	〔个・(個)[箇]・個〕
丫	〔丫・[枒椏]〕
丰	〔丰・(丰|豐)・豐〕
临	〔临・(臨)・臨〕
为	〔为・(爲)・為〕
丽	〔丽・(麗)・麗〕
举	〔举・(舉)[擧]・舉〕
乃	〔乃・[廼迺]〕
么	〔么・(麽)・麼〕
义	〔义・(義)・義〕
乌	〔乌・(烏)・烏〕
乐	〔乐・(樂)・樂〕
乔	〔乔・(喬)・喬〕
乘	〔乘・[乗椉]〕
习	〔习・(習)・習〕
乡	〔乡・(鄉)・鄉〕
书	〔书・(書)・書〕
买	〔买・(買)・買〕
乱	〔乱・(亂)・亂〕
了	〔了・(了|瞭)・瞭〕
亏	〔亏・(虧)・虧〕
云	〔云・(云|雲)・雲〕
亘	〔亘・[亙]〕
亚	〔亚・(亞)・亞〕
亡	〔亡・[亾]〕
产	〔产・(産)・產〕
亩	〔亩・(畝)[𤰜畂𤱈畆畮]・畝〕
享	〔享・[亯]〕
亲	〔亲・(親)・親〕
亵	〔亵・(褻)・褻〕
亿	〔亿・(億)・億〕
仅	〔仅・(僅)・僅〕
仆	〔仆・(仆|僕)・僕〕
仇	〔仇・[讐讎]〕
从	〔从・(從)・從〕
仑	〔仑・(侖)[崘崙]・侖〕
仓	〔仓・(倉)・倉〕
仙	〔仙・[僊]〕
以	〔以・[㕥㠯]〕
仪	〔仪・(儀)・儀〕
们	〔们・(們)・們〕
价	〔价・(價)・價〕
仿	〔仿・[倣髣]〕
众	〔众・(衆)[眾]・眾〕
优	〔优・(優)・優〕
伙	〔伙・(伙|夥)・夥〕
会	〔会・(會)・會〕
伛	〔伛・(傴)・傴〕
伞	〔伞・(傘)[𠌂繖]・傘〕
伟	〔伟・(偉)・偉〕
传	〔传・(傳)・傳〕
伣	〔伣・(俔)〕
伤	〔伤・(傷)・傷〕
伥	〔伥・(倀)・倀〕
伦	〔伦・(倫)・倫〕
伧	〔伧・(傖)・傖〕
伪	〔伪・(僞)・偽〕
伫	〔伫・[佇竚]〕
似	〔似・[佀]〕
体	〔体・(體)・體〕
余	〔余・(余|餘)・餘〕
佛	〔佛・[彿髴]〕
你	〔你・[妳]〕
佣	〔佣・(傭)・傭〕
佥	〔佥・(僉)・僉〕
侃	〔侃・[偘]〕
侄	〔侄・[妷姪]〕
侠	〔侠・(俠)・俠〕
侥	〔侥・(僥)[儌]・僥〕
侦	〔侦・(偵)[遉]・偵〕
侧	〔侧・(側)・側〕
侨	〔侨・(僑)・僑〕
侩	〔侩・(儈)・儈〕
侪	〔侪・(儕)・儕〕
侬	〔侬・(儂)・儂〕
俊	〔俊・[㑺儁]〕
俟	〔俟・[竢]〕
俦	〔俦・(儔)・儔〕
俨	〔俨・(儼)・儼〕
俩	〔俩・(倆)・倆〕
俪	〔俪・(儷)・儷〕
俫	〔俫・(倈)〕
俭	〔俭・(儉)・儉〕
修	〔修・[脩]〕
俯	〔俯・[俛頫]〕
倏	〔倏・[倐儵]〕
借	〔借・(借|藉)・藉〕
倦	〔倦・[勌]〕
债	〔债・(債)・債〕
倾	〔倾・(傾)・傾〕
假	〔假・[叚]〕
偬	〔偬・[傯]〕
偷	〔偷・[媮]〕
偻	〔偻・(僂)・僂〕
偾	〔偾・(僨)・僨〕
偿	〔偿・(償)・償〕
傥	〔傥・(儻)・儻〕
傧	〔傧・(儐)・儐〕
储	〔储・(儲)・儲〕
傩	〔傩・(儺)・儺〕
僵	〔僵・[殭]〕
儿	〔儿・(兒)・兒〕
克	〔克・(克|剋)[|尅]・剋〕
兔	〔兔・[兎兔]〕
党	〔党・(党|黨)・黨〕
兜	〔兜・[兠]〕
兰	〔兰・(蘭)・蘭〕
关	〔关・(關)・關〕
兴	〔兴・(興)・興〕
养	〔养・(養)・養〕
兽	〔兽・(獸)・獸〕
冁	〔冁・囅〕
冈	〔冈・(岡)・岡〕
冉	〔冉・[冄]〕
册	〔册・[冊]〕
再	〔再・[𠕂𠕅]〕
冒	〔冒・[冐]〕
冗	〔冗・[宂]〕
写	〔写・(寫)・寫〕
军	〔军・(軍)・軍〕
农	〔农・(農)[辳]・農〕
冢	〔冢・[塚]〕
冤	〔冤・[𡨘寃]〕
冥	〔冥・[𠖇㝠]〕
冬	〔冬・(冬|鼕)・鼕〕
冯	〔冯・(馮)・馮〕
冰	〔冰・[氷]〕
冲	〔冲・(冲|衝)・衝〕
决	〔决・[決]〕
况	〔况・[況]〕
冻	〔冻・(凍)・凍〕
净	〔净・[淨]〕
凄	〔凄・[淒悽]〕
准	〔准・(准|準)・準〕
凉	〔凉・[涼]〕
减	〔减・[減]〕
凑	〔凑・[湊]〕
几	〔几・(几|幾)・幾〕
凡	〔凡・[凢]〕
凤	〔凤・(鳳)・鳳〕
凫	〔凫・(鳬)・鳧〕
凭	〔凭・(憑)[凴]・憑〕
凯	〔凯・(凱)・凱〕
凳	〔凳・[櫈]〕
凶	〔凶・[兇]・兇〕
出	〔出・(出|齣)・齣〕
击	〔击・(擊)・擊〕
函	〔函・[圅]〕
凿	〔凿・(鑿)・鑿〕
刊	〔刊・[栞]〕
刍	〔刍・(芻)・芻〕
划	〔划・(划|劃)・劃〕
刘	〔刘・(劉)・劉〕
则	〔则・(則)・則〕
刚	〔刚・(剛)・剛〕
创	〔创・(創)[剏剙]・創〕
删	〔删・[刪]〕
刨	〔刨・[鉋鑤]〕
别	〔别・(别|彆)・彆〕
刬	〔刬・(剗)・剗〕
刭	〔刭・(剄)・剄〕
刮	〔刮・(刮|颳)・颳〕
制	〔制・(制|製)・製〕
券	〔券・[劵]〕
刽	〔刽・(劊)・劊〕
刿	〔刿・(劌)・劌〕
剀	〔剀・(剴)・剴〕
剂	〔剂・(劑)・劑〕
剃	〔剃・[薙鬀]〕
剋	〔剋・[尅]〕
剐	〔剐・(剮)・剮〕
剑	〔剑・(劍)[劒]・劍〕
剧	〔剧・(劇)・劇〕
剩	〔剩・[賸]〕
剿	〔剿・[𠞰勦]〕
劝	〔劝・(勸)・勸〕
办	〔办・(辦)・辦〕
务	〔务・(務)・務〕
劢	〔劢・(勱)〕
动	〔动・(動)[働]・動〕
劫	〔劫・[刦刧刼]〕
励	〔励・(勵)・勵〕
劲	〔劲・(勁)・勁〕
劳	〔劳・(勞)・勞〕
势	〔势・(勢)・勢〕
勋	〔勋・(勛)[勳]・勛〕
勖	〔勖・[勗]〕
勚	〔勚・(勩)・勩〕
勤	〔勤・[懃]〕
匆	〔匆・[怱悤]〕
匝	〔匝・[帀]〕
匦	〔匦・(匭)・匭〕
匮	〔匮・(匱)・匱〕
匹	〔匹・[疋]〕
区	〔区・(區)・區〕
医	〔医・(醫)・醫〕
千	〔千・(千|韆)・韆〕
升	〔升・[昇陞]・昇|陞〕
华	〔华・(華)・華〕
协	〔协・(協)・協〕
卒	〔卒・[䘚]〕
单	〔单・(單)・單〕
卖	〔卖・(賣)・賣〕
博	〔博・[愽]〕
卜	〔卜・(卜|蔔)・蔔〕
占	〔占・[佔]・佔〕
卢	〔卢・(盧)・盧〕
卤	〔卤・(鹵|滷)・鹵|滷〕
卫	〔卫・(衛)・衛〕
卮	〔卮・[巵]〕
卯	〔卯・[夘戼]〕
却	〔却・[㕁卻]〕
卷	〔卷・(卷|捲)・捲〕
厂	〔厂・(廠)・廠〕
厄	〔厄・[戹阨]〕
厅	〔厅・(廳)・廳〕
