$	钱
(￣^￣)	哼
+∞	无穷
-∞	无穷
§	章 节 章节
©	版权
®	注册
°	度 角度
±	正负 政府
¶	段 段落
Φ	直径
ᵀᴹ	他妈 妈的 气人 文明
ᵀᴹᴰ	他妈 妈的 气人 文明
​​​📦	箱子
※	重点 要点 重要 参考
℃	度 温度
℉	度 温度
℗	版权
℞	配方 方案
℠	sm
℡	电话 tel
™	tm
℻	传真 fax
↖	左上
↗	右上
↘	右下
↙	左下
↩	回车 换行
↲	回车 换行
⇱	左上
⇲	右下
∀	任意
∃	存在
∄	存在
∅	空 空集
∈	属于
∑	求和
√	根号 开方
∛	根号 开方
∜	根号 开方
∝	正比
∞	无穷
∟	直角 角
∠	坡比 坡度 角
∨	或 或者
∩	且 交 并且
∪	并
∫	积分
∬	积分
∭	积分
∮	积分
∯	积分
∰	积分
∴	所以
∵	因为
∼	相似 约
≅	全等
≈	约 约等
≠	不等
≤	小于
≥	大于
≪	小于
≫	大于
⊂	包含
⊥	垂直
⊿	三角 直角
⋮	省略
⋯	省略
⌚	手表
⌛	时长 沙漏
⌨️	键盘
⌬	苯 苯环
⏚	地 接地 地线
⏢	梯形
⏩	快进
⏯️	暂停
⏰	定时 时长 闹钟
⏱	秒表
⏲	座钟 闹钟
⏳	周期 沙漏 计时
⏹	停止
▪️◾️◼️	变化 调整 音量 点
▫️◽️◻️	变化 调整 音量 点
▱	四边
▶	播放
◀	播放
◐_◐	左看
◑_◐	斗鸡 内看
◑_◑	右看
◓_◓	白眼
☀	天气 晴 太阳
☁	天气 阴 阴天
☂️	伞 雨伞
★	重要 星星 星号
☆	重要 星星 星号
☎☏	电话
☑️	勾选 确认 完成
☔	伞 雨伞
☕	咖啡
☝︎	注意 指出
☠	骷髅
☢	危险 放射 辐射 污染
☣	危险 生化 感染 污染
☧	凯乐
☯	太极
♀️	女 女生 女人 女性 性别
♂️	性别 男 男生 男人 男性
♈	白羊
♉	金牛
♊	双子
♋	巨蟹
♌	狮子
♍	处女 室女
♎	天平 天秤
♏	天蝎
♐	人马 射手
♑	摩羯
♒	水瓶 宝瓶
♓	双鱼
♠	黑桃
♣	梅花
♥	红桃 红心
♦	方片 方块
♨	温泉
♨️	加热 热气 泡面
♩	四分 音符
♪	八分 音符
♫	八分 音符
♬	十六 音符
♭	降音 降号
♮	还原
♯	升音 升号
♻️	循环 重复 回收
♽	再生
♿	轮椅 残疾 无障碍
⚓	锚 船锚 锚点
⚔	剑
⚕	蛇
⚖	天平 称
⚙	齿轮
⚠	警告
⚡	闪电 高压 雷电
⚪	白 白色
⚫	黑 黑色
⚰	棺材
⚽️	球 足球
⚾	棒球
⛄️	雪人
⛅	天气 多云
⛈	天气 雷雨
⛍	会车 来车
⛏	镐 铁镐
⛐	滑移
⛑	安全 安全帽 帽子
⛔	禁 禁止
⛕	改道
⛖	会车 让行
⛗	会车 让行
⛙	变窄 车道
⛜	变窄 车道线
⛟	货车 卡车
⛪	教堂
⛱	伞 雨伞 海滨 休闲 度假 沙滩
⛳	球 高尔夫
⛴	渡轮 轮渡
⛵	帆船
⛷	滑雪
⛺	露营
⛾	休息 咖啡
✂	剪子 剪刀
✅	勾选 确认 完成 复选 多选
✈	飞机
✉️	信封 短信 消息
✊	拳头
✋	举手
✍	写字 书写
✏	铅笔
✒	钢笔
✔	对 对号 勾 对勾 确认 完成
✔📩	微信
❄	天气 雪 雪花 下雪
❌	乘 乘号 叉 错 打叉 叉号 拒绝 取消 放弃 丢弃
❎	叉 错 打叉 叉号 拒绝 取消 放弃 丢弃
❓	问 问号 疑问 疑点 存疑
❗	重要 叹号
❣	友爱 爱心
❤	心
➕	加 加号 十字
➕➖	正负 政府
➖	减 减号
➗	除 除号
➡	右
➰	绳子
⬅	左
⬆	上
⬇	下
⬛	黑 黑色
